index,name,rule_count
26.1,Proto-Mande to Bobo,7
26.2,Proto-Mande to Busa,5
26.3,Proto-Mande to Dan,4
26.4,Proto-Mande to Guro,5
26.5,Proto-Mande to Kono-Vai,6
26.6,Proto-Mande to Southwest Mande,6
26.7,Proto-Mande to Mandekan,7
26.8,Proto-Mande to Mano,5
26.9,Proto-Mande to Mwa,5
26.10,Proto-Mande to San,4
26.11,Proto-Mande to Sembla,8
26.12,Proto-Mande to Soninka,5
26.13,Proto-Mande to Susu,7
27,Mayan,0
27.1,Proto-Mayan to Ch’olan,6
27.2,Proto-Mayan to Chujean,4
27.3,Proto-Mayan to Huastecan,5
27.4,Proto-Mayan to Ixilean,5
27.5,Proto-Mayan to Kaqchikel-Tz’utujil,6
27.6,Proto-Mayan to Core K’iche’,3
27.7,Proto-Mayan to Mamean,8
27.8,Proto-Mayan to Q’anjob’alan,4
27.9,Proto-Mayan to Tzeltalan,3
27.10,Proto-Mayan to Yucatecan,5
28,Muskogean,3
28.1,Proto-Muskogean to Proto-Eastern Muskogean,3
28.1.1,Proto-Eastern Muskogean to Alabama,4
28.1.2,Proto-Eastern Muskogean to Creek,13
28.1.3,Proto-Eastern Muskogean to Hitchiti,4
28.1.4,Proto-Eastern Muskogean to Korasati,6
28.1.5,Proto-Eastern Muskogean to Mikasuri,4
28.1.6,Proto-Eastern Muskogean to Seminole,2
28.2,Proto-Muskogean to Proto-Western Muskogean,11
28.2.1,Proto-Western Muskogean to Chickasaw,3
28.2.2,Proto-Western Muskogean to Choctaw,5
29,Na-Dene,0
29.1,Proto-Na-Dene to Proto-Athabaskan-Eyak,2
29.1.1,Proto-Athabaskan-Eyak to Proto-Athabaskan,8
29.1.1.1,Athabaskan,0
29.1.1.1.1,Proto-Athabaskan to Ahtna,5
29.1.1.1.2,Proto-Athabaskan to Babine,3
29.1.1.1.3,Proto-Athabaskan to Beaver,7
29.1.1.1.4,Proto-Athabaskan to Chilcotin,4
29.1.1.1.5,Proto-Athabaskan to Chipewyan,5
29.1.1.1.6,Proto-Athabaskan to Dakelh,3
29.1.1.1.7,Proto-Athabaskan to Deg Hit’an,11
29.1.1.1.8,Proto-Athabaskan to Dena’ina,5
29.1.1.1.9,Proto-Athabaskan to Dogrib,4
29.1.1.1.10,Proto-Athabaskan to Easter Gwich’in,9
29.1.1.1.11,Proto-Athabaskan to Han,5
29.1.1.1.12,Proto-Athabaskan to Holikachuk,9
29.1.1.1.13,Proto-Athabaskan to Hupa,6
29.1.1.1.14,Proto-Athabaskan to Lower Koyukon,7
29.1.1.1.15,Proto-Athabaskan to Upper Koyukon,8
29.1.1.1.16,Proto-Athabaskan to Upper Kuskokwim Kolchan,3
29.1.1.1.17,Proto-Athabaskan to Sarcee,4
29.1.1.1.18,Proto-Athabaskan to Sekani,6
29.1.1.1.19,Proto-Athabaskan to Proto-Southern Athabaskan,6
29.1.1.1.20,Proto-Southern Athabaskan to Proto-Eastern Southern Athabaskan,2
29.1.1.1.21,Proto-Eastern Southern Athabaskan to Kiowa Apache,8
29.1.1.1.22,Proto-Eastern Southern Athabaskan to Jicarilla,8
29.1.1.1.23,Proto-Eastern Southern Athabaskan to Lipan,8
29.1.1.1.24,Proto-Southern Athabaskan to Proto-Western Southern Athabaskan,1
29.1.1.1.25,Proto-Western Southern Athabaskan to Chiricahua,7
29.1.1.1.26,Proto-Western Southern Athabaskan to Mescalero,8
29.1.1.1.27,Proto-Western Southern Athabaskan to Navajo,7
29.1.1.1.28,Proto-Western Southern Athabaskan to San Carlos,6
29.1.1.1.29,Proto-Athabaskan to Bearlake Slavey-Hare,4
29.1.1.1.30,Proto-Athabaskan to Hare Slavey-Hare,6
29.1.1.1.31,Proto-Athabaskan to Mountain Slavey-Hare,4
29.1.1.1.32,Proto-Athabaskan to Slavey Slavey-Hare,3
29.1.1.1.33,Proto-Athabaskan to Tahltan-Kaska-Tagish,3
29.1.1.1.34,Tahltan-Kaska-Tagish to Kaska,3
29.1.1.1.35,Tahltan-Kaska-Tagish to Tagish,1
29.1.1.1.36,Tahltan-Kaska-Tagish to Tahltan,1
29.1.1.1.37,Proto-Athabaskan to Tanacross,10
29.1.1.1.38,Proto-Athabaskan to Lower Tanana,5
29.1.1.1.39,Proto-Athabaskan to Upper Tanana,13
29.1.1.1.40,Proto-Athabaskan to Tsetsaut,4
29.1.1.1.41,Proto-Athabaskan to Northern Tutchone,5
29.1.1.1.42,Proto-Athabaskan to Southern Tutchone,7
29.1.2,Proto-Athabaskan-Eyak to Eyak,7
29.2,Proto-Na-Dene to Tlingit,13
30,Niger-Congo,0
30.1,Proto-Potou-Akanic-Bantu to Proto-Bantu,14
30.1.1,Pre-Proto-Bantu to Proto-Bantu,3
30.1.1.1,Proto-Bantu to Sebirwa,10
30.1.1.2,Proto-Bantu to Tswana,8
30.1.1.3,Sam,0
30.1.1.3.1,Proto-Sam to Amu,2
30.1.1.3.2,Proto-Sam to Bajuni,2
30.1.1.3.3,Proto-Sam to Mwiini,3
30.1.1.3.4,Proto-Sam to Siu-Pate,2
30.1.1.3.5,Proto-Sam to Proto-Aweera,1
30.1.1.3.6,Proto-Sam to Lower Pokomo,1
