,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
153,0FE,bird,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,100,cat,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,103,cow,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,105,dog,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,108,fish,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,109,fly,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,10C,goat,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,10E,horse,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,10F,insect,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,115,monkey,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,118,pig,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,11B,sheep,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,11C,snake,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
166,125,worm,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,126,apple,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,12D,cork,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
169,12F,cotton,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,139,grass,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171,146,orange,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,14D,potato,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,14E,rice,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,15B,garden,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,15C,grain,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,15E,plant,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,15F,tree,plant species and types,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178,164,cloud,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,166,earth,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,169,field,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
181,16F,island,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,172,moon,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,173,mountain,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,176,rain,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,178,river,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,17A,sky,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,17B,snow,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,17C,star,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,17E,sun,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,180,thunder,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,186,weather,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,187,wind,natural world,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,18C,rod,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,18E,basket,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,18F,bed,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,190,bell,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,191,blade,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,193,board,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,195,bottle,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,198,box,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,199,brake,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,19A,brick,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,19C,brush,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,19F,button,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,1A4,chain,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,1A7,clock,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,1AA,comb,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,1AD,cord,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,1AE,cover,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,1AF,cup,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211,1B0,curtain,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,1B5,drain,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,1BD,fork,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,1BE,frame,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,1C2,gun,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,1C3,hammer,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,1C6,hook,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,1C7,horn,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,1CA,key,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,1CB,knife,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,1D1,lock,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,1D2,machine,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,1D3,match (little fire-stick),tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
